,position,img,count,mean,frame,mask,nuclei_count,Hours,total_int/cell#,count/cell_count,dose,beads,replicate
88,XY007,expt1003_TRITC_XY007_T11.tif,439517,6850.4455299795,11,expt1003_Cy5_XY007_T11_cp_masks.tif,136,5.0,22138876.97058824,3231.7426470588234,0,True,2
89,XY007,expt1003_TRITC_XY007_T12.tif,477327,7152.571138862876,12,expt1003_Cy5_XY007_T12_cp_masks.tif,137,5.5,24920549.81021898,3484.1386861313867,0,True,2
90,XY007,expt1003_TRITC_XY007_T13.tif,508835,7573.24429333674,13,expt1003_Cy5_XY007_T13_cp_masks.tif,134,6.0,28757699.701492537,3797.276119402985,0,True,2
91,XY008,expt1003_TRITC_XY008_T01.tif,0,,1,expt1003_Cy5_XY008_T01_cp_masks.tif,151,0.0,,0.0,0,True,2
92,XY008,expt1003_TRITC_XY008_T02.tif,58502,2797.213326040136,2,expt1003_Cy5_XY008_T02_cp_masks.tif,153,0.5,1069559.3071895426,382.36601307189545,0,True,2
93,XY008,expt1003_TRITC_XY008_T03.tif,153649,3497.10276669552,3,expt1003_Cy5_XY008_T03_cp_masks.tif,154,1.0,3489132.0974025973,997.7207792207791,0,True,2
94,XY008,expt1003_TRITC_XY008_T04.tif,208901,3968.0179032173137,4,expt1003_Cy5_XY008_T04_cp_masks.tif,152,1.5,5453440.184210527,1374.3486842105262,0,True,2
95,XY008,expt1003_TRITC_XY008_T05.tif,242053,4400.539303375707,5,expt1003_Cy5_XY008_T05_cp_masks.tif,150,2.0,7101091.600000001,1613.6866666666667,0,True,2
96,XY008,expt1003_TRITC_XY008_T06.tif,282538,4675.40162031302,6,expt1003_Cy5_XY008_T06_cp_masks.tif,148,2.5,8925531.236486487,1909.0405405405409,0,True,2
97,XY008,expt1003_TRITC_XY008_T07.tif,319263,4988.587706686963,7,expt1003_Cy5_XY008_T07_cp_masks.tif,150,3.0,10617809.846666666,2128.42,0,True,2
98,XY008,expt1003_TRITC_XY008_T08.tif,351929,5310.542416226001,8,expt1003_Cy5_XY008_T08_cp_masks.tif,153,3.5,12215254.130718956,2300.1895424836603,0,True,2
99,XY008,expt1003_TRITC_XY008_T09.tif,378078,5650.678330926423,9,expt1003_Cy5_XY008_T09_cp_masks.tif,147,4.0,14533314.027210884,2571.9591836734694,0,True,2
100,XY008,expt1003_TRITC_XY008_T10.tif,416632,5879.107884175964,10,expt1003_Cy5_XY008_T10_cp_masks.tif,143,4.5,17128842.489510488,2913.5104895104896,0,True,2
101,XY008,expt1003_TRITC_XY008_T11.tif,447984,6299.7077998321365,11,expt1003_Cy5_XY008_T11_cp_masks.tif,143,5.0,19735442.65034965,3132.755244755245,0,True,2
102,XY008,expt1003_TRITC_XY008_T12.tif,472666,6710.093427494256,12,expt1003_Cy5_XY008_T12_cp_masks.tif,133,5.5,23846864.81203008,3553.87969924812,0,True,2
103,XY008,expt1003_TRITC_XY008_T13.tif,500777,7177.286159308434,13,expt1003_Cy5_XY008_T13_cp_masks.tif,140,6.0,25672998.792857144,3576.9785714285717,0,True,2
104,XY009,expt1003_TRITC_XY009_T01.tif,10,1467.1,1,expt1003_Cy5_XY009_T01_cp_masks.tif,135,0.0,108.67407407407408,0.074074074074074,0,True,2
105,XY009,expt1003_TRITC_XY009_T02.tif,35347,2764.848813194896,2,expt1003_Cy5_XY009_T02_cp_masks.tif,135,0.5,723919.3407407408,261.8296296296296,0,True,2
106,XY009,expt1003_TRITC_XY009_T03.tif,96256,3547.0323823969416,3,expt1003_Cy5_XY009_T03_cp_masks.tif,130,1.0,2626331.915384616,740.4307692307692,0,True,2
107,XY009,expt1003_TRITC_XY009_T04.tif,133654,4060.317334310982,4,expt1003_Cy5_XY009_T04_cp_masks.tif,124,1.5,4376432.685483871,1077.854838709677,0,True,2
108,XY009,expt1003_TRITC_XY009_T05.tif,170386,4520.20904299649,5,expt1003_Cy5_XY009_T05_cp_masks.tif,133,2.0,5790829.609022557,1281.0977443609022,0,True,2
109,XY009,expt1003_TRITC_XY009_T06.tif,203699,4989.280575751476,6,expt1003_Cy5_XY009_T06_cp_masks.tif,134,2.5,7584413.91044776,1520.141791044776,0,True,2
110,XY009,expt1003_TRITC_XY009_T07.tif,238228,5425.6456713736425,7,expt1003_Cy5_XY009_T07_cp_masks.tif,131,3.0,9866723.030534351,1818.5343511450385,0,True,2
111,XY009,expt1003_TRITC_XY009_T08.tif,274014,5717.373207208391,8,expt1003_Cy5_XY009_T08_cp_masks.tif,132,3.5,11868487.13636364,2075.8636363636365,0,True,2
112,XY009,expt1003_TRITC_XY009_T09.tif,300719,6075.914704425061,9,expt1003_Cy5_XY009_T09_cp_masks.tif,128,4.0,14274554.640625,2349.3671875,0,True,2
113,XY009,expt1003_TRITC_XY009_T10.tif,331889,6386.343388904122,10,expt1003_Cy5_XY009_T10_cp_masks.tif,127,4.5,16689426.1496063,2613.299212598425,0,True,2
114,XY009,expt1003_TRITC_XY009_T11.tif,356502,6808.193496810677,11,expt1003_Cy5_XY009_T11_cp_masks.tif,133,5.0,18249132.315789472,2680.466165413534,0,True,2
115,XY009,expt1003_TRITC_XY009_T12.tif,383673,7303.269698415056,12,expt1003_Cy5_XY009_T12_cp_masks.tif,125,5.5,22416539.16,3069.384,0,True,2
116,XY009,expt1003_TRITC_XY009_T13.tif,402597,7785.314428572493,13,expt1003_Cy5_XY009_T13_cp_masks.tif,123,6.0,25482473.43902439,3273.1463414634145,0,True,2
117,XY010,expt1003_TRITC_XY010_T01.tif,0,,1,expt1003_Cy5_XY010_T01_cp_masks.tif,146,0.0,,0.0,0,True,2
118,XY010,expt1003_TRITC_XY010_T02.tif,53015,2767.1915118362726,2,expt1003_Cy5_XY010_T02_cp_masks.tif,147,0.5,997977.2653061224,360.6462585034014,0,True,2
119,XY010,expt1003_TRITC_XY010_T03.tif,144773,3564.339144730025,3,expt1003_Cy5_XY010_T03_cp_masks.tif,145,1.0,3558759.110344828,998.4344827586208,0,True,2
120,XY010,expt1003_TRITC_XY010_T04.tif,203810,4054.080629017222,4,expt1003_Cy5_XY010_T04_cp_masks.tif,146,1.5,5659329.952054795,1395.958904109589,0,True,2
121,XY010,expt1003_TRITC_XY010_T05.tif,247452,4461.225320466191,5,expt1003_Cy5_XY010_T05_cp_masks.tif,145,2.0,7613373.296551724,1706.5655172413792,0,True,2
122,XY010,expt1003_TRITC_XY010_T06.tif,285613,4807.890950341896,6,expt1003_Cy5_XY010_T06_cp_masks.tif,146,2.5,9405453.136986302,1956.2534246575344,0,True,2
123,XY010,expt1003_TRITC_XY010_T07.tif,323530,5259.300386362934,7,expt1003_Cy5_XY010_T07_cp_masks.tif,142,3.0,11982686.295774648,2278.3802816901407,0,True,2
124,XY010,expt1003_TRITC_XY010_T08.tif,360876,5591.635597823075,8,expt1003_Cy5_XY010_T08_cp_masks.tif,148,3.5,13634372.216216216,2438.3513513513512,0,True,2
125,XY010,expt1003_TRITC_XY010_T09.tif,395023,5891.178435179724,9,expt1003_Cy5_XY010_T09_cp_masks.tif,142,4.0,16388387.176056338,2781.8521126760565,0,True,2
126,XY010,expt1003_TRITC_XY010_T10.tif,429903,6276.496846963152,10,expt1003_Cy5_XY010_T10_cp_masks.tif,137,4.5,19695509.664233577,3137.978102189781,0,True,2
127,XY010,expt1003_TRITC_XY010_T11.tif,461142,6688.493672231113,11,expt1003_Cy5_XY010_T11_cp_masks.tif,138,5.0,22350328.615942027,3341.608695652174,0,True,2
